key,postcode,suburb,latitude,longitude
1,2601,ACTON,-35.282087,149.108716
2,2602,AINSLIE,-35.262153,149.145893
3,2914,AMAROO,-35.170334,149.125877
4,2614,ARANDA,-35.257964,149.075648
5,200,AUSTRALIAN NATIONAL UNIVERSITY,-35.277272,149.117136
6,2906,BANKS,-35.522639,149.08098
7,221,BARTON,-35.201372,149.095065
8,2600,BARTON,-35.314348,149.137033
9,2616,BELCONNEN,-35.248442,149.070336
10,2617,BELCONNEN,-35.236234,149.067347
11,2601,BLACK MOUNTAIN,-35.274967,149.097654
12,2914,BONNER,-35.164311,149.13395
13,2905,BONYTHON,-35.429018,149.081746
14,2612,BRADDON,-35.270615,149.133208
15,2617,BRUCE,-35.242534,149.077275
16,2905,CALWELL,-35.43528,149.11229
17,2612,CAMPBELL,-35.290006,149.153091
18,2600,CANBERRA,-35.306768,149.126355
19,2601,CANBERRA,-35.302425,149.114587
20,2609,CANBERRA INTERNATIONAL AIRPORT,-35.303411,149.194007
21,2604,CAUSEWAY,-35.317703,149.150133
22,2611,CHAPMAN,-35.356503,149.042021
23,2615,CHARNWOOD,-35.199345,149.030062
24,2606,CHIFLEY,-35.353521,149.079546
25,2905,CHISHOLM,-35.424193,149.122569
26,2608,CIVIC SQUARE,-35.282868,149.129372
27,2906,CONDER,-35.456295,149.094031
28,2614,COOK,-35.260549,149.064613
29,2911,CRACE,-35.218473,149.124813
30,2605,CURTIN,-35.32454,149.075667
31,2600,DEAKIN,-35.315246,149.108714
32,2600,DEAKIN WEST,-35.326172,149.09186
33,2602,DICKSON,-35.25113,149.140293
34,2602,DOWNER,-35.243223,149.14309
35,2611,DUFFY,-35.337331,149.031759
36,2615,DUNLOP,-35.198771,149.017199
37,2600,DUNTROON,-35.303194,149.161688
38,2903,ERINDALE CENTRE,-35.403016,149.097207
39,2617,EVATT,-35.214897,149.065527
40,2904,FADDEN,-35.400996,149.115023
41,2607,FARRER,-35.375443,149.10095
42,2611,FISHER,-35.361906,149.056369
43,2615,FLOREY,-35.226376,149.051672
44,2615,FLYNN,-35.200937,149.049519
45,2914,FORDE,-35.164368,149.147539
46,2603,FORREST,-35.31848,149.124096
47,2913,FRANKLIN,-35.201802,149.132349
48,2615,FRASER,-35.192811,149.042736
49,2609,FYSHWICK,-35.328937,149.176391
50,2605,GARRAN,-35.345268,149.103604
51,2905,GILMORE,-35.416056,149.134017
52,2913,GINNINDERRA VILLAGE,-35.191111,149.084139
53,2617,GIRALANG,-35.209934,149.098783
54,2906,GORDON,-35.450547,149.083449
55,2904,GOWRIE,-35.413419,149.108473
56,2900,GREENWAY,-35.417991,149.069414
57,2603,GRIFFITH,-35.328248,149.141658
58,2912,GUNGAHLIN,-35.522639,149.08098
59,2602,HACKETT,-35.251175,149.163647
60,2618,HALL,-35.522639,149.08098
61,2600,HARMAN,-35.344592,149.200009
62,2914,HARRISON,-35.180788,149.144499
63,2614,HAWKER,-35.247384,149.034535
64,2615,HIGGINS,-35.231052,149.027686
65,2540,HMAS CRESWELL,-35.129878,150.707521
66,2600,HMAS HARMAN,-35.347094,149.1994
67,2611,HOLDER,-35.336947,149.044141
68,2615,HOLT,-35.225448,149.016787
69,2605,HUGHES,-35.333573,149.094259
70,2620,HUME,-35.381752,149.176445
71,2607,ISAACS,-35.366298,149.112868
72,2905,ISABELLA PLAINS,-35.431945,149.092689
73,2614,JAMISON CENTRE,-35.253292,149.071291
74,2540,JERVIS BAY,-35.127437,150.707149
75,2617,KALEEN,-35.219211,149.103465
76,2902,KAMBAH,-35.378876,149.045895
77,2604,KINGSTON,-35.314775,149.141537
78,2615,KIPPAX,-35.221958,149.020133
79,2620,KOWEN FOREST,-35.319673,149.248421
80,2615,LATHAM,-35.219561,149.032478
81,2617,LAWSON,-35.225439,149.100291
82,2602,LYNEHAM,-35.251866,149.123906
83,2606,LYONS,-35.339514,149.076118
84,2904,MACARTHUR,-35.408559,149.131961
85,2615,MACGREGOR,-35.215852,149.014395
86,2614,MACQUARIE,-35.251259,149.063625
87,2609,MAJURA,-35.291673,149.190655
88,2603,MANUKA,-35.320203,149.133731
89,2607,MAWSON,-35.36417,149.094507
90,2617,MCKELLAR,-35.219085,149.072475
91,2615,MELBA,-35.211034,149.049966
92,2911,MITCHELL,-35.217487,149.141164
93,2904,MONASH,-35.416103,149.089758
94,2611,MOUNT STROMLO,-35.322524,149.006418
95,2604,NARRABUNDAH,-35.333135,149.153732
96,2913,NGUNNAWAL,-35.177716,149.106022
97,2913,NICHOLLS,-35.190785,149.099951
98,2620,OAKS ESTATE,-35.341151,149.221576
99,2602,O'CONNOR,-35.264415,149.121991
100,2606,O'MALLEY,-35.354341,149.106771
101,2903,OXLEY,-35.414349,149.079888
102,2614,PAGE,-35.239696,149.049056
103,2913,PALMERSTON,-35.194578,149.114697
104,2600,PARKES,-35.300114,149.132726
105,2600,PARLIAMENT HOUSE,-35.308181,149.124434
106,2607,PEARCE,-35.365002,149.081687
107,2606,PHILLIP,-35.351856,149.091212
108,2609,PIALLIGO,-35.304257,149.179244
109,2611,PIERCES CREEK,-35.335104,148.920364
110,2603,RED HILL,-35.340723,149.131106
111,2612,REID,-35.282992,149.141637
112,2905,RICHARDSON,-35.427581,149.109787
113,2611,RIVETT,-35.347161,149.03589
114,2600,RUSSELL,-35.299321,149.151238
115,2614,SCULLIN,-35.233152,149.040779
116,2615,SPENCE,-35.199588,149.062181
117,2611,STIRLING,-35.3486,149.049348
118,2606,SWINGER HILL,-35.353555,149.097227
119,2609,SYMONSTON,-35.347404,149.158785
120,2620,THARWA,-35.434676,149.125536
121,2905,THEODORE,-35.448697,149.124445
